scraped_at,row,seat,status,is_wheelchair,description
2026-05-22T16:04:06Z,K,27,sold,False,BFI IMAX K 27
2026-05-22T16:04:06Z,K,26,sold,False,BFI IMAX K 26
2026-05-22T16:04:06Z,P,29,unavailable,True,BFI IMAX P 29
2026-05-22T16:04:06Z,P,28,unavailable,True,BFI IMAX P 28
2026-05-22T16:04:06Z,P,4,unavailable,True,BFI IMAX P 4
2026-05-22T16:04:06Z,P,3,unavailable,True,BFI IMAX P 3
2026-05-22T16:04:06Z,A,7,available,False,BFI IMAX A 7
2026-05-22T16:04:06Z,A,6,available,False,BFI IMAX A 6
2026-05-22T16:04:06Z,A,5,available,False,BFI IMAX A 5
2026-05-22T16:04:06Z,A,4,available,False,BFI IMAX A 4
2026-05-22T16:04:06Z,A,3,available,False,BFI IMAX A 3
2026-05-22T16:04:06Z,A,2,available,False,BFI IMAX A 2
2026-05-22T16:04:06Z,A,1,available,False,BFI IMAX A 1
2026-05-22T16:04:06Z,B,36,available,False,BFI IMAX B 36
2026-05-22T16:04:06Z,B,35,available,False,BFI IMAX B 35
2026-05-22T16:04:06Z,B,34,available,False,BFI IMAX B 34
2026-05-22T16:04:06Z,B,33,available,False,BFI IMAX B 33
2026-05-22T16:04:06Z,B,32,available,False,BFI IMAX B 32
2026-05-22T16:04:06Z,B,31,available,False,BFI IMAX B 31
2026-05-22T16:04:06Z,B,30,available,False,BFI IMAX B 30
2026-05-22T16:04:06Z,B,29,available,False,BFI IMAX B 29
2026-05-22T16:04:06Z,B,28,available,False,BFI IMAX B 28
2026-05-22T16:04:06Z,B,27,available,False,BFI IMAX B 27
2026-05-22T16:04:06Z,B,26,available,False,BFI IMAX B 26
2026-05-22T16:04:06Z,B,25,available,False,BFI IMAX B 25
2026-05-22T16:04:06Z,B,24,available,False,BFI IMAX B 24
2026-05-22T16:04:06Z,B,23,available,False,BFI IMAX B 23
2026-05-22T16:04:06Z,B,22,available,False,BFI IMAX B 22
2026-05-22T16:04:06Z,B,21,available,False,BFI IMAX B 21
2026-05-22T16:04:06Z,B,20,available,False,BFI IMAX B 20
2026-05-22T16:04:06Z,B,19,available,False,BFI IMAX B 19
2026-05-22T16:04:06Z,B,18,available,False,BFI IMAX B 18
2026-05-22T16:04:06Z,B,17,available,False,BFI IMAX B 17
2026-05-22T16:04:06Z,B,16,available,False,BFI IMAX B 16
2026-05-22T16:04:06Z,B,15,available,False,BFI IMAX B 15
2026-05-22T16:04:06Z,B,14,available,False,BFI IMAX B 14
2026-05-22T16:04:06Z,B,13,available,False,BFI IMAX B 13
2026-05-22T16:04:06Z,B,12,available,False,BFI IMAX B 12
2026-05-22T16:04:06Z,B,11,available,False,BFI IMAX B 11
2026-05-22T16:04:06Z,B,10,available,False,BFI IMAX B 10
2026-05-22T16:04:06Z,B,9,available,False,BFI IMAX B 9
2026-05-22T16:04:06Z,B,8,available,False,BFI IMAX B 8
2026-05-22T16:04:06Z,B,7,available,False,BFI IMAX B 7
2026-05-22T16:04:06Z,B,6,available,False,BFI IMAX B 6
2026-05-22T16:04:06Z,B,5,available,False,BFI IMAX B 5
2026-05-22T16:04:06Z,B,4,available,False,BFI IMAX B 4
2026-05-22T16:04:06Z,B,3,available,False,BFI IMAX B 3
2026-05-22T16:04:06Z,B,2,available,False,BFI IMAX B 2
2026-05-22T16:04:06Z,B,1,available,False,BFI IMAX B 1
2026-05-22T16:04:06Z,C,36,available,False,BFI IMAX C 36
2026-05-22T16:04:06Z,C,35,available,False,BFI IMAX C 35
2026-05-22T16:04:06Z,C,34,available,False,BFI IMAX C 34
2026-05-22T16:04:06Z,C,33,available,False,BFI IMAX C 33
2026-05-22T16:04:06Z,C,32,available,False,BFI IMAX C 32
2026-05-22T16:04:06Z,C,31,available,False,BFI IMAX C 31
2026-05-22T16:04:06Z,C,30,available,False,BFI IMAX C 30
2026-05-22T16:04:06Z,C,29,available,False,BFI IMAX C 29
2026-05-22T16:04:06Z,C,28,available,False,BFI IMAX C 28
2026-05-22T16:04:06Z,C,27,available,False,BFI IMAX C 27
2026-05-22T16:04:06Z,C,26,available,False,BFI IMAX C 26
2026-05-22T16:04:06Z,C,25,available,False,BFI IMAX C 25
2026-05-22T16:04:06Z,C,24,available,False,BFI IMAX C 24
2026-05-22T16:04:06Z,C,23,available,False,BFI IMAX C 23
2026-05-22T16:04:06Z,C,22,available,False,BFI IMAX C 22
2026-05-22T16:04:06Z,C,21,available,False,BFI IMAX C 21
2026-05-22T16:04:06Z,C,20,available,False,BFI IMAX C 20
2026-05-22T16:04:06Z,C,19,available,False,BFI IMAX C 19
2026-05-22T16:04:06Z,C,18,available,False,BFI IMAX C 18
2026-05-22T16:04:06Z,C,17,available,False,BFI IMAX C 17
2026-05-22T16:04:06Z,C,16,available,False,BFI IMAX C 16
2026-05-22T16:04:06Z,C,15,available,False,BFI IMAX C 15
2026-05-22T16:04:06Z,C,14,available,False,BFI IMAX C 14
2026-05-22T16:04:06Z,C,13,available,False,BFI IMAX C 13
2026-05-22T16:04:06Z,C,12,available,False,BFI IMAX C 12
2026-05-22T16:04:06Z,C,11,available,False,BFI IMAX C 11
2026-05-22T16:04:06Z,C,10,available,False,BFI IMAX C 10
2026-05-22T16:04:06Z,C,9,available,False,BFI IMAX C 9
2026-05-22T16:04:06Z,C,8,available,False,BFI IMAX C 8
2026-05-22T16:04:06Z,C,7,available,False,BFI IMAX C 7
2026-05-22T16:04:06Z,C,6,available,False,BFI IMAX C 6
2026-05-22T16:04:06Z,C,5,available,False,BFI IMAX C 5
2026-05-22T16:04:06Z,C,4,available,False,BFI IMAX C 4
2026-05-22T16:04:06Z,C,3,available,False,BFI IMAX C 3
2026-05-22T16:04:06Z,C,2,available,False,BFI IMAX C 2
2026-05-22T16:04:06Z,C,1,available,False,BFI IMAX C 1
2026-05-22T16:04:06Z,D,37,available,False,BFI IMAX D 37
2026-05-22T16:04:06Z,D,36,available,False,BFI IMAX D 36
2026-05-22T16:04:06Z,D,35,available,False,BFI IMAX D 35
2026-05-22T16:04:06Z,D,34,available,False,BFI IMAX D 34
2026-05-22T16:04:06Z,D,33,available,False,BFI IMAX D 33
2026-05-22T16:04:06Z,D,32,available,False,BFI IMAX D 32
2026-05-22T16:04:06Z,D,31,available,False,BFI IMAX D 31
2026-05-22T16:04:06Z,D,30,available,False,BFI IMAX D 30
2026-05-22T16:04:06Z,D,29,available,False,BFI IMAX D 29
2026-05-22T16:04:06Z,D,28,available,False,BFI IMAX D 28
2026-05-22T16:04:06Z,D,27,available,False,BFI IMAX D 27
2026-05-22T16:04:06Z,D,26,available,False,BFI IMAX D 26
2026-05-22T16:04:06Z,D,25,available,False,BFI IMAX D 25
2026-05-22T16:04:06Z,D,24,available,False,BFI IMAX D 24
2026-05-22T16:04:06Z,D,23,available,False,BFI IMAX D 23
2026-05-22T16:04:06Z,D,22,available,False,BFI IMAX D 22
2026-05-22T16:04:06Z,D,21,available,False,BFI IMAX D 21
2026-05-22T16:04:06Z,D,20,available,False,BFI IMAX D 20
2026-05-22T16:04:06Z,D,19,available,False,BFI IMAX D 19
2026-05-22T16:04:06Z,D,18,available,False,BFI IMAX D 18
2026-05-22T16:04:06Z,D,17,available,False,BFI IMAX D 17
2026-05-22T16:04:06Z,D,16,available,False,BFI IMAX D 16
2026-05-22T16:04:06Z,D,15,available,False,BFI IMAX D 15
2026-05-22T16:04:06Z,D,14,available,False,BFI IMAX D 14
2026-05-22T16:04:06Z,D,13,available,False,BFI IMAX D 13
2026-05-22T16:04:06Z,D,12,available,False,BFI IMAX D 12
2026-05-22T16:04:06Z,D,11,available,False,BFI IMAX D 11
